ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,AGE_SEG,proba_logreg,pred_logreg,proba_xgb,pred_xgb
20710B05XL,54,M,1425390,437,3,0.981937116,1,0.9025956,1
89602T51HX,47,M,1678954,388,3,0.99111133,1,0.9281853,1
70190Z52IP,60,M,931624,700,4,0.956631511,1,0.8191929,1
25623V15MU,55,F,1106320,700,4,0.967231139,1,0.85175896,1
36230I68CE,32,F,748465,155,1,0.607718612,1,0.42111596,0
11264G01HZ,48,F,1051927,219,2,0.785340635,1,0.5287978,1
74250S23UO,26,F,1076402,282,2,0.833723755,1,0.6912758,1
26735J66DB,45,F,1481949,452,3,0.982638028,1,0.9184157,1
93404P60ED,55,M,1725607,545,4,0.994223073,1,0.8885083,1
56557A36QV,64,F,312323,434,3,0.705880183,1,0.7648802,1
38353F50LZ,53,M,546574,26,1,0.473426372,0,0.49407902,0
54684T21RX,44,F,1203691,719,4,0.977171475,1,0.8892629,1
46929E04HS,59,F,724688,9,1,0.516658115,1,0.41103816,0
20647X82EQ,27,F,975130,118,1,0.743722822,1,0.5508183,1
34956P25RT,57,F,1422399,78,1,0.863464011,1,0.29169676,0
07090V20JQ,40,F,1558045,510,4,0.990932226,1,0.8995051,1
78392T89DQ,33,M,669737,31,1,0.60680957,1,0.6271858,1
07257K04CB,57,F,774593,182,1,0.553598078,1,0.39411402,0
65658K80PS,59,F,993201,118,1,0.677417997,1,0.296635,0
69803K32CS,42,F,1050793,983,4,0.967553909,1,0.863451,1
49525O29YH,40,M,1598014,470,3,0.989961102,1,0.9159347,1
25740R14MI,63,M,776801,706,4,0.935217254,1,0.82417464,1
84250L43IB,47,F,1435495,452,3,0.980083227,1,0.93113035,1
84258G83EV,28,F,787934,254,2,0.703440561,1,0.67902666,1
53254B39QD,55,F,1867421,87,1,0.951964712,1,0.34122458,0
97021A36QC,40,F,1005643,7,1,0.729535979,1,0.3044897,0
47560Z98KV,44,F,1334503,439,3,0.975317789,1,0.9082213,1
73529T58NE,64,M,342644,403,3,0.760863436,1,0.77159727,1
30806A42VM,44,F,1227876,90,1,0.818324996,1,0.2622318,0
00049S85RE,43,F,1370374,51,1,0.867027955,1,0.25879565,0
26721D43SM,39,M,1381129,855,4,0.988640045,1,0.90704805,1
82508W18LT,29,F,1141044,22,1,0.811471861,1,0.55351585,1
80438M73AV,63,M,861120,78,1,0.638614869,1,0.3431379,0
67814A83LG,51,M,1078531,387,3,0.959220873,1,0.87742037,1
87070V97ZO,33,F,886139,403,3,0.935590885,1,0.9057135,1
79093X41WL,45,F,881137,35,1,0.650561771,1,0.28282347,0
80170A41DA,58,M,1807736,295,2,0.964023225,1,0.39567986,0
92814K57MF,35,M,1010476,777,4,0.972885797,1,0.92574924,1
67811V23ZL,63,F,913006,617,4,0.94302978,1,0.76284665,1
49928Y38OE,62,F,916758,871,4,0.944145692,1,0.7687184,1
60766Z46OD,61,F,1428077,323,2,0.890236233,1,0.36883786,0
65221A93PY,54,M,854720,344,2,0.718624822,1,0.41832688,0
67305F19BO,47,M,1005454,440,3,0.953482287,1,0.9281853,1
11497L25KD,56,F,879059,96,1,0.619980626,1,0.30680227,0
